stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\kalvi\Downloads\Allegro_Window\x64\Debug\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   0.10567] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10573] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10579] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10585] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10593] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10599] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10605] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10611] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10618] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10624] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10631] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10637] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10643] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10649] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10655] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10661] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10668] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10673] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10679] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10685] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10691] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10697] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10704] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10710] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10716] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10722] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10729] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10736] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10748] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10753] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10760] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10766] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10772] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10778] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.10785] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10791] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10798] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10804] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10810] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10816] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10822] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10828] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10834] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10840] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10848] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10853] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10860] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10866] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.10872] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.10878] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10884] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.10890] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10897] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.10902] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10909] Score is : 657
display  D   display_settings.c:212  debug_display_settings           [   0.10915] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10922] Score is : 665
display  D   display_settings.c:212  debug_display_settings           [   0.10928] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10936] Score is : 673
display  D   display_settings.c:212  debug_display_settings           [   0.10941] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10948] Score is : 681
display  D   display_settings.c:212  debug_display_settings           [   0.10954] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10961] Score is : 689
display  D   display_settings.c:212  debug_display_settings           [   0.10966] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10973] Score is : 697
display  D   display_settings.c:212  debug_display_settings           [   0.10979] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.10985] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.10991] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.10997] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.11003] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.11010] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.11016] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11022] Score is : 657
display  D   display_settings.c:212  debug_display_settings           [   0.11028] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11038] Score is : 665
display  D   display_settings.c:212  debug_display_settings           [   0.11043] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11050] Score is : 673
display  D   display_settings.c:212  debug_display_settings           [   0.11056] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11062] Score is : 681
display  D   display_settings.c:212  debug_display_settings           [   0.11068] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11075] Score is : 689
display  D   display_settings.c:212  debug_display_settings           [   0.11081] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11087] Score is : 697
display  D   display_settings.c:212  debug_display_settings           [   0.11093] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11100] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.11106] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.11112] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.11118] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.11125] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.11131] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11138] Score is : 657
display  D   display_settings.c:212  debug_display_settings           [   0.11143] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11150] Score is : 665
display  D   display_settings.c:212  debug_display_settings           [   0.11156] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11162] Score is : 673
display  D   display_settings.c:212  debug_display_settings           [   0.11168] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11176] Score is : 681
display  D   display_settings.c:212  debug_display_settings           [   0.11187] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11196] Score is : 689
display  D   display_settings.c:212  debug_display_settings           [   0.11203] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11209] Score is : 697
display  D   display_settings.c:212  debug_display_settings           [   0.11215] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11221] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.11227] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.11234] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.11240] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.11246] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.11252] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11258] Score is : 657
display  D   display_settings.c:212  debug_display_settings           [   0.11264] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11270] Score is : 665
display  D   display_settings.c:212  debug_display_settings           [   0.11276] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11282] Score is : 673
display  D   display_settings.c:212  debug_display_settings           [   0.11288] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11295] Score is : 681
display  D   display_settings.c:212  debug_display_settings           [   0.11301] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11308] Score is : 689
display  D   display_settings.c:212  debug_display_settings           [   0.11313] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11320] Score is : 697
display  D   display_settings.c:212  debug_display_settings           [   0.11326] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11333] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.11338] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.11345] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.11351] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.11357] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.11363] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11369] Score is : 657
display  D   display_settings.c:212  debug_display_settings           [   0.11375] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11381] Score is : 665
display  D   display_settings.c:212  debug_display_settings           [   0.11387] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11393] Score is : 673
display  D   display_settings.c:212  debug_display_settings           [   0.11399] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11405] Score is : 681
display  D   display_settings.c:212  debug_display_settings           [   0.11411] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11418] Score is : 689
display  D   display_settings.c:212  debug_display_settings           [   0.11424] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11431] Score is : 697
display  D   display_settings.c:212  debug_display_settings           [   0.11437] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11444] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.11450] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.11456] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.11462] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.11468] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.11474] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11481] Score is : 657
display  D   display_settings.c:212  debug_display_settings           [   0.11487] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11493] Score is : 665
display  D   display_settings.c:212  debug_display_settings           [   0.11499] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11506] Score is : 673
display  D   display_settings.c:212  debug_display_settings           [   0.11511] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11518] Score is : 681
display  D   display_settings.c:212  debug_display_settings           [   0.11524] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11531] Score is : 689
display  D   display_settings.c:212  debug_display_settings           [   0.11538] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11545] Score is : 697
display  D   display_settings.c:212  debug_display_settings           [   0.11551] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11558] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.11564] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.11570] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.11576] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.11583] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.11589] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11595] Score is : 657
display  D   display_settings.c:212  debug_display_settings           [   0.11601] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11607] Score is : 665
display  D   display_settings.c:212  debug_display_settings           [   0.11613] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11620] Score is : 673
display  D   display_settings.c:212  debug_display_settings           [   0.11625] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11632] Score is : 681
display  D   display_settings.c:212  debug_display_settings           [   0.11637] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11643] Score is : 689
display  D   display_settings.c:212  debug_display_settings           [   0.11649] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11655] Score is : 697
display  D   display_settings.c:212  debug_display_settings           [   0.11661] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11668] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.11673] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.11680] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.11686] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.11692] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.11698] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11704] Score is : 657
display  D   display_settings.c:212  debug_display_settings           [   0.11710] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11717] Score is : 665
display  D   display_settings.c:212  debug_display_settings           [   0.11722] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11729] Score is : 673
display  D   display_settings.c:212  debug_display_settings           [   0.11735] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11741] Score is : 681
display  D   display_settings.c:212  debug_display_settings           [   0.11747] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11759] Score is : 689
display  D   display_settings.c:212  debug_display_settings           [   0.11767] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11778] Score is : 697
display  D   display_settings.c:212  debug_display_settings           [   0.11787] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.11793] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.11799] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.11811] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11822] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.11853] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11859] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11866] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11872] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11878] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11884] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11891] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11897] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11903] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11909] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11927] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11933] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11940] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11946] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11952] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11958] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.11964] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11970] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.11977] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11983] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.11989] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.11996] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.12003] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12008] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.12015] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12021] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.12030] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12036] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.12042] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12048] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.12054] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12060] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.12067] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12073] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.12079] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12084] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.12091] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12097] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.12103] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12109] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.12116] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12122] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.12129] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12135] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.12141] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12147] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.12153] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12159] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.12165] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12171] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.12180] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12193] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.12199] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12205] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.12212] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12218] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.12224] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12230] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.12236] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.12242] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
